Y,Z
-0.15830712776408115,-0.029554094868250887
-0.1559143418925441,-0.03391763265664943
-0.15238488877181725,-0.040353603240297645
-0.14934176602745813,-0.04590343689666718
-0.1388074302476091,-0.06511477957152896
-0.14769347226055948,-0.04891000760917617
-0.1309824315942141,-0.07938537784645264
-0.11673181349205655,-0.10537503195923378
-0.11261038816469737,-0.11289093447237927
-0.11057535843264805,-0.11660274678229135
-0.10458775597126517,-0.12752270513796424
-0.10376832034693094,-0.12901605045789669
-0.1005495820954412,-0.1348868180774013
-0.09565757845067584,-0.14380800405318941
-0.13923266367198794,-0.16829123192394127
-0.09357426927761127,-0.19444258266626313
-0.1028868823352011,-0.1985925902752644
-0.11892808664022529,-0.20574168857709546
-0.07855104651725037,-0.17771677302906158
-0.14327178379737543,-0.21247804975422158
-0.15119820955696409,-0.2180734836615852
-0.12465446577708655,-0.19933587371771566
-0.10623807928041158,-0.18633527440072425
-0.10312908894926671,-0.1841403722570477
-0.0992409172965839,-0.1813956630442077
-0.09535696992140615,-0.17865418368321867
-0.15770029447038,-0.1469954503494235
-0.10870294617221223,-0.14853717686525045
-0.11539376460470402,-0.14259853640152395
-0.11716150930104571,-0.1410304554518759
-0.12742556949349765,-0.1319212706802301
-0.07894956012227333,-0.1592008428570819
-0.13954629676764208,-0.11511201939720048
-0.12351240905865032,-0.12376865667837157
-0.09960160858625719,-0.13667747882287723
-0.0884739455162568,-0.14268542032211223
-0.0801935989734932,-0.14715606380133814
-0.16134749659028008,-0.12045231894915369
-0.07729087196588767,-0.14959528417417936
-0.08345459873821244,-0.14855756214548893
-0.08663727464391764,-0.14802144633920508
-0.09366935158732535,-0.14683759245721406
-0.10355072336535316,-0.14517383808053178
-0.10975780977047737,-0.14412883035306684
-0.11587784402543047,-0.1430985204103997
-0.1195422114183337,-0.14248203405690768
-0.1414088109250116,-0.13880089449505137
-0.09089478375956449,-0.14741938017147801
-0.08728350405911689,-0.08730438467761532
-0.06308785640265034,-0.09297824179316261
-0.054914671892405516,-0.08205480894629237
-0.08855914788816714,-0.12861725521266615
-0.042667557957892684,-0.06609608815364079
-0.05809693803868115,-0.15316085193558535
-0.07499318111812929,-0.20344521573112337
-0.08378326586516935,-0.24530056428331576
-0.07961628612760986,-0.2678830095522385
-0.0833888293174113,-0.2990224824467416
-0.031850785675090955,-0.32260733860969104
-0.0745966391194263,-0.32284466645240506
-0.07851122162679675,-0.33109393423931166
-0.029820919838510766,-0.3471299053439111
-0.05414475010317603,-0.34177037667246823
-0.06047224352881198,-0.3403755950293844
-0.0640647301236331,-0.3395843602199366
-0.07116092762240318,-0.3380209226052166
-0.0018023440040468293,-0.3453950812258909
-0.02973733056540723,-0.33957517927922093
-0.0014456771751573626,-0.3151460096489233
-0.007581223178127226,-0.3054675457715647
-0.01147042687680294,-0.2993318647412882
-0.04183857986308349,-0.2948627920172499
-0.05815851556995315,-0.2708609420070712
-0.060945449844677854,-0.26955850490080474
-0.02471037514892643,-0.2797677439721794
-0.07261153934893019,-0.264109450711005
-0.065950584341951,-0.26267824841127424
-0.04309759898504687,-0.26865963407719246
-0.012397500831051969,-0.26142725380948845
0.034352003476789794,-0.23371497488455606
0.05253890891656872,-0.19584990536970162
0.05088039674810041,-0.1799629510760039
0.04976444481040805,-0.16926801910275432
0.049375207365302105,-0.1655405834211749
0.0486859229650294,-0.15893804201120906
0.04783437500091104,-0.1507808826586426
0.05286280389114404,-0.10215263972854118
0.046178397576431655,-0.09647317120929293
0.03363639375710819,-0.10207889203046622
0.04085677586422148,-0.09885159621012474
0.027269159408585843,-0.11900636446088192
-0.019826515189852293,-0.1307101358190597
-0.013157568400769525,-0.13302381503870883
-0.04738624495394923,-0.1015128245283633
0.031245314092265768,-0.15910885981622738
0.05509342421546181,-0.1769676268489928
-0.03738403256230568,-0.10789432296709237
-0.04843050932226052,-0.09981238614956207
-0.038180777552903715,-0.1470918053400736
-0.0647032730256837,-0.11462810396104442
-0.06684947671276441,-0.11674956287033589
-0.07252534591409776,-0.12236140177624988
-0.044016543601628565,-0.09375179420525878
-0.05351496439692536,-0.10297418288142511
-0.06403990684850437,-0.11354982493890559
-0.05795091002914093,-0.10743162790136619
-0.05357236005423351,-0.10303141339308353
0.010660044417270148,-0.06937097579432551
0.01143447223185309,-0.0690727326384238
0.04130821926835178,-0.08311099091069314
0.05232156150410332,-0.091513100745528
0.05391177128218605,-0.09272619094199559
0.06167434902306811,-0.09864830113853174
0.09090441289224305,-0.12094857547206306
0.06409279455795162,-0.1599251430657935
0.1035573150924263,-0.16030555349138306
0.1031614449956131,-0.16739197434378106
0.10115735075827166,-0.20324971618264165
0.10072536070530433,-0.2109870232705253
0.0709635301451825,-0.14567666690318568
0.07532765819582433,-0.1863477304900144
0.07053472736717575,-0.17696571942207034
0.10594334924441452,-0.23426003065542023
0.07306408284898562,-0.17555161619980603
0.10281133138309485,-0.21580094402585767
0.0882798553794151,-0.18306528330001062
0.02842730767122605,-0.3449975691206274
0.08453919648758973,-0.13433191851146192
0.08715245637646125,-0.13614079122844314
0.08635168933116151,-0.09846362497629635
0.03340696521994344,-0.34664924976381456
0.05517788774497551,-0.32880400834255646
0.025445268124642123,-0.35317531103688327
0.004254014614826916,-0.3383540805795519
0.013627537132542946,-0.3532546245591627
0.01011083282101171,-0.3466862137637295
-0.03153727364291692,-0.31005347832625224
-0.03290347833348515,-0.32488644356011037
-0.03294430431601938,-0.3253320123722144
0.04675805233337529,-0.23772051536413702
0.05943930160087909,-0.3285881584444154
0.04083307997725942,-0.2970907658851245
0.0698552725702425,-0.28067015653303806
0.01621268392063819,-0.29552905487381864
-0.008078877566594459,-0.30306219299702913
0.002675595533147132,-0.263681357958398
-0.03439835021393183,-0.29522754601678014
-0.00010793599049773727,-0.19878837636927604
-0.032187263228164294,-0.26090169577110284
-0.10115976407106482,-0.22945279669023078
-0.126786285385636,-0.16703749247335667
-0.0658310499644165,-0.12379790848554816
-0.1231369824057898,-0.15122550875346621
-0.08685330092199557,-0.1446077611195608
-0.09600995372683728,-0.1491043455430827
-0.11977174990555155,-0.1607730309727101
-0.11654221002611967,-0.159186795728048
-0.11097376980134536,-0.18560619498298678
-0.11622932825687662,-0.17411090556821865
-0.11563313938877975,-0.17541603096164607
-0.10851729024862498,-0.1909786049136859
-0.10348084599331446,-0.2019945766831986
-0.10137249023475754,-0.2062998831592549
-0.09834089463650826,-0.2116211505054884
-0.08629264713498801,-0.23276416427183177
-0.1148260223216817,-0.28049647435151104
-0.10491089032826424,-0.28325801175777127
-0.10508806040157775,-0.28362829245473936
-0.12613566109439428,-0.29863367509736916
-0.14666121058885345,-0.2505676381445951
-0.11117141151933077,-0.2912711980312516
-0.11032617641509078,-0.27898913457819224
-0.13962574255707008,-0.23355276093927493
-0.15246970303497748,-0.18748261102767486
-0.17963182549695603,-0.11414775550203576
-0.18444280930261775,-0.10343787409837424
-0.17598180239473146,-0.17804451842335925
-0.18937665736196316,-0.1279480826714021
-0.19123135219472373,-0.140522637220173
-0.20036491636449896,-0.1716801502495624
-0.20360514970186586,-0.2014613212220985
-0.20414631793345936,-0.20320343687316705
-0.20528873615868523,-0.20688395386714747
-0.20621560842734724,-0.20986975361425872
-0.21004579423587852,-0.2222084442225131
-0.20292876209003285,-0.2488829161211441
-0.19210026876884595,-0.26587997882323966
-0.18542720072206545,-0.2763548967852482
-0.1783942457732231,-0.28739435416528325
-0.17410936001025334,-0.2941201769803875
-0.16651463168925973,-0.30604175891962915
-0.16992879509355752,-0.3064724138096956
-0.17148394106296405,-0.30640732285249467
-0.17564255679292998,-0.3062350869760844
-0.17657413361833357,-0.3061961636153671
-0.1794759351083528,-0.306076160811549
-0.18440260338918973,-0.30587159384185897
-0.18851911735184054,-0.30570058339950207
-0.1905476203458008,-0.30561642783474996
-0.19634284552787284,-0.230774437379197
-0.18702075365127271,-0.254186255297469
-0.2035788418610774,-0.29260556721623077
-0.20587091812556418,-0.24285993199391653
-0.20644056864065985,-0.23049227196843955
-0.20752780459541081,-0.2068991909571232
-0.21158303238860662,-0.28962990182020787
-0.22290145996448923,-0.28209359213897184
-0.22199940293728612,-0.28522546583857894
-0.22195877937141667,-0.25531645147836274
-0.21168214530228774,-0.2958159167224417
-0.21076819653875214,-0.2782041565341497
-0.17405304665200227,-0.2709062898871545
-0.16653341932542637,-0.3348739118036004
-0.20599203233840663,-0.2750292588336902
-0.16169353723006386,-0.26405970637551096
-0.21845017323645954,-0.24011971165013274
-0.22066845035281277,-0.2391839592113466
-0.19902840218297788,-0.21963076931055536
-0.23323494437900028,-0.21338226673325347
-0.2370278698364216,-0.1974211872621313
-0.2399584899926063,-0.18508828661785828
-0.24038013732432306,-0.18331391429587088
-0.23738055057805513,-0.17065850855851405
-0.22916960550019014,-0.15898706401739068
-0.22493422693527715,-0.1529672142715456
-0.20834519452813427,-0.12938723196482468
-0.1917787412805264,-0.10583966154989277
-0.18864359648758658,-0.10754468586662594
-0.1865846854873377,-0.11222882177911958
-0.18330257005328185,-0.11969559246841846
